id,mcc,mnc,lac,cellid,lat,lon,range_meters,radio,samples,avg_signal,changeable,rnc,cid,tac,pci,area_name,scraped_at,operator,distance_km_to_up9,bearing_deg_from_up9,estimated_bands
183,722,310,3224,33810,-31.575,-60.736,1578,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.348,189.8,B5 (850); B2 (1900)
171,722,34,10770,17995013,-31.57,-60.755,2584,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.348,204.5,B28 (700); B4 (AWS); B7 (2600)
319,722,34,791,6881432,-31.556,-60.667,1223,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.367,134.1,B5 (850); B1 (2100)
499,722,310,3223,13905,-31.469,-60.784,5867,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Claro,7.371,308.1,B5 (850); B2 (1900)
165,722,34,10791,17971457,-31.571,-60.753,1000,LTE,1,0,True,0,0,10791,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.373,202.8,B28 (700); B4 (AWS); B7 (2600)
170,722,34,10770,17994246,-31.57,-60.756,1000,LTE,1,0,True,0,0,10770,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.388,205.2,B28 (700); B4 (AWS); B7 (2600)
508,722,7,2761,134150657,-31.445,-60.74,5219,LTE,1,0,True,0,0,2761,,recreo,2025-12-25 23:23:56.358020+00:00,Movistar,7.397,347.3,B28 (700); B4 (AWS); B7 (2600)
184,722,34,770,7734562,-31.575,-60.739,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.401,192.0,B5 (850); B1 (2100)
164,722,34,794,6882722,-31.571,-60.755,1000,UMTS,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.449,204.2,B5 (850); B1 (2100)
220,722,34,714,50103,-31.577,-60.722,1000,GSM,1,0,True,0,0,0,,recreo,2025-12-25 23:23:56.358020+00:00,Personal,7.463,179.4,B5 (850); B2 (1900)
